,Top_Proteins
1,IGFBP2.CARDIO
2,FURIN.ONC
3,CES1.CARDIO
4,ANGPTL2.INF
5,NPPC.INF
6,KLK4.ONC
7,ADAMTS15.ONC
8,IL17RB.INF
9,GSTA3.ONC
10,EDIL3.CARDIO
11,SORD.ONC
12,PLAT.CARDIO
13,TNFRSF19.ONC
14,GSTA1.CARDIO
15,LAYN.NEURO
16,ART3.CARDIO
17,IGFBP1.CARDIO
18,CD160.INF
19,LDLR.CARDIO
20,MMP3.NEURO
21,TNFRSF9.NEURO
22,CD22.INF
23,IGFBP4.NEURO
24,C1QTNF1.CARDIO
25,F2R.INF
26,CD302.ONC
27,ADH4.CARDIO
28,USP8.CARDIO
29,TCL1A.NEURO
30,CCL22.INF
31,MB.CARDIO
32,IGFBP6.CARDIO
33,ESAM.CARDIO
34,VWA1.ONC
35,NECTIN4.ONC
36,REG1A.CARDIO
37,RNASE3.CARDIO
38,CA14.ONC
39,ITGB2.CARDIO
40,CALCA.NEURO
41,LEP.CARDIO
42,CREG1.ONC
43,CD8A.NEURO
44,NEFL.NEURO
45,IL19.CARDIO
46,TGM2.CARDIO
47,ACTA2.CARDIO
48,NELL1.ONC
49,SIT1.INF
50,SSC4D.CARDIO
51,WFDC2.ONC
52,EDA2R.ONC
53,WNT9A.INF
54,FETUB.CARDIO
55,TNFRSF11A.INF
56,CALB1.ONC
57,RSPO3.ONC
58,PLA2G10.NEURO
59,PTGDS.CARDIO
60,IL4R.INF
61,PVALB.ONC
62,FCN2.CARDIO
63,NOS3.NEURO
64,CERT.NEURO
65,PI3.CARDIO
66,ITGA5.NEURO
67,CCL28.INF
68,SPINK4.INF
69,TNFRSF14.INF
70,SELE.CARDIO
71,LYN.ONC
72,ADAM22.NEURO
73,PLAU.NEURO
74,CKMT1A_CKMT1B.INF
75,PIK3IP1.NEURO
76,ROR1.CARDIO
77,MASP1.NEURO
78,TSPAN1.CARDIO
79,KIR2DL3.ONC
80,IGFBP3.CARDIO
81,LAIR1.INF
82,CPM.NEURO
83,NOS1.NEURO
84,ERBB2.ONC
85,ACY1.CARDIO
86,CXCL13.NEURO
87,DEFA1_DEFA1B.CARDIO
88,SCARB2.NEURO
89,CDH3.NEURO
90,ENO1.NEURO
91,SCGB1A1.INF
92,FKBP1B.INF
93,MGLL.INF
94,NPDC1.CARDIO
95,SNAP23.CARDIO
96,NPM1.NEURO
97,ITGAM.NEURO
98,PTPRN2.NEURO
99,CDHR2.ONC
100,REG1B.CARDIO
